DESCRIPTION1,DESCRIPTION2,DESCRIPTION3,ID,SHM_KRN,SHM_HEVRA_MENAHELET,TAARICH_HAFAKAT_HADOCH,SUG_KRN,SHM_TAAGID_SHOLET,SUG_TAAGID_SHOLET,MI_TKUFAT_DIVUACH,AD_TKUFAT_DIVUACH,HAFKADOT_LLO_HAAVAROT,MSHICHOT_LLO_HAAVAROT,HAAVAROT_BEIN_HAKRANOT,TZVIRA_NETO,YITRAT_NCHASIM_LSOF_TKUFA,SHIUR_DMEI_NIHUL_AHARON,TSUA_MEMUZAAT_LETKUFA,TSUA_MITZTABERET_LETKUFA,TSUA_MEMUZAAT_36_HODASHIM,TSUA_MEMUZAAT_60_HODASHIM,TSUA_MITZTABERET_36_HODASHIM,TSUA_MITZTABERET_60_HODASHIM,TSUA_SHNATIT_MEMUZAAT_3_SHANIM,TSUA_SHNATIT_MEMUZAAT_5_SHANIM,STIAT_TEKEN_36_HODASHIM,STIAT_TEKEN_60_HODASHIM,MATZAV_DIVUACH,ALPHA_SHNATI,BETA_TA100,BETA_AGACH_KONTZERNIOT_TZMUDOT,BETA_AGACH_MEM_LO_TZMUDOT,BETA_AGACH_MEMSHALTIOT_TZMUDOT,BETA_HUTZ_LAARETZ,R_SQUARED,SHARP_TSUA_HETZYONIT_ANAF,SHARP_TSUA_HETZYONIT_ALL,SHARP_RIBIT_HASRAT_SIKUN,YAHAS_NEZILUT,SHIUR_D_NIHUL_AHARON_HAFKADOT,SHIUR_D_NIHUL_AHARON_NCHASIM,ODEF_GIRAON_ACTUARI_AHARON,YR_ODEF_GIRAON_ACTUARI_AHARON,ODEF_GIRAON_ACTUARI_LETKUFA,TSUA_MEMUZAT_HASHKAOT_HOFSHIOT,NUM_HEVRA,TAARICH_SIUM_PEILUT,ID_MASLUL_RISHUY
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14039,אינפיניטי מקיפה מסלול לבני 60 ומעלה,"אינפיניטי השתלמות, גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אינפיניטי ניהול תיקי השקעות (בישראל ובעולם) בע""מ",גופים פרטיים,202312,202411,14.14,8.7,34.74,40.18,49.86,,1.06,13.49,,,,,,,,,דווח,,,,,,,,,,,93.5,,,0.77,2023,0.96,1.2,513621110,,14039
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14040,אינפיניטי מקיפה עוקב מדדי מניות,"אינפיניטי השתלמות, גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אינפיניטי ניהול תיקי השקעות (בישראל ובעולם) בע""מ",גופים פרטיים,202312,202411,1.66,2.22,11.44,10.88,19.04,,1.56,20.35,,,,,,,,,דווח,,,,,,,,,,,97.1,,,0.77,2023,0.96,1.87,513621110,,14040
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14042,אינפיניטי מקיפה הלכה,"אינפיניטי השתלמות, גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אינפיניטי ניהול תיקי השקעות (בישראל ובעולם) בע""מ",גופים פרטיים,202312,202411,2.15,3.98,19.83,18,23.91,,1.34,17.34,,,,,,,,,דווח,,,,,,,,,,,97,,,0.77,2023,0.96,1.57,513621110,,14042
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14043,מסלול בסיסי למקבלי קצבה,"אינפיניטי השתלמות, גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אינפיניטי ניהול תיקי השקעות (בישראל ובעולם) בע""מ",גופים פרטיים,202312,202411,0,0.69,4.79,4.1,7.4,,0.99,12.54,,,,,,,,,דווח,,,,,,,,,,,91.1,,,0.77,2023,0.96,1.42,513621110,,14043
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14054,אינפיניטי מקיפה עוקב מדד S&P 500,"אינפיניטי השתלמות, גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אינפיניטי ניהול תיקי השקעות (בישראל ובעולם) בע""מ",גופים פרטיים,202312,202411,3.77,5.51,24.42,22.68,36.79,,1.72,22.66,,,,,,,,,דווח,,,,,,,,,,,96.8,,,0.77,2023,0.96,2.1,513621110,,14054
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14198,הראל  פנסיה- עוקב מדדים גמיש,"הראל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ",קבוצות ביטוח,202312,202411,9.8,2.01,121.8,129.59,180.2,,1.22,15.64,,,,,,,,,דווח,,,,,,,,,,,97.4,,,-0.22,2023,-0.31,1.49,512267592,,14198
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14199,הראל  פנסיה- משולב סחיר,"הראל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ",קבוצות ביטוח,202312,202411,2.82,0.69,56.71,58.84,71.14,,1.14,14.53,,,,,,,,,דווח,,,,,,,,,,,91.7,,,-0.22,2023,-0.31,1.36,512267592,,14199
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14200,הראל  פנסיה- קיימות,"הראל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ",קבוצות ביטוח,202312,202411,1.61,0.27,7.15,8.49,15.4,,0.5,6.13,,,,,,,,,דווח,,,,,,,,,,,94.6,,,-0.22,2023,-0.31,0.48,512267592,,14200
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14232,כלל פנסיה משולב סחיר,"כלל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,אחר,אחר,202312,202411,0.96,0.23,15.84,16.57,25.44,,1.54,20.16,,,,,,,,,דווח,,,,,,,,,,,88.8,,,-0.17,2023,-0.26,1.81,512244146,,14232
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14233,כלל פנסיה עוקב מדדים גמיש,"כלל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,אחר,אחר,202312,202411,10.47,3.83,217.81,224.45,297.02,,1.26,16.25,,,,,,,,,דווח,,,,,,,,,,,95.8,,,-0.17,2023,-0.26,1.44,512244146,,14233
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14242,מגדל מקפת אישית משולב סחיר,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",19/12/2024,קרנות חדשות,"שלמה אליהו אחזקות בע""מ",ישראלית,202312,202411,1.16,0.01,16.36,17.51,30.12,,1.21,15.56,,,,,,,,,דווח,,,,,,,,,,,92,,,-0.15,2023,-0.09,1.4,512237744,,14242
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14243,מגדל מקפת אישית עוקב מדדים - גמיש,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",19/12/2024,קרנות חדשות,"שלמה אליהו אחזקות בע""מ",ישראלית,202312,202411,6.76,0.25,125.27,131.78,167.37,,0.93,11.76,,,,,,,,,דווח,,,,,,,,,,,97.2,,,-0.15,2023,-0.09,1.02,512237744,,14243
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14259,מיטב פנסיה מקיפה משולב סחיר,"מיטב גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"מיטב דש השקעות בע""מ",ישראלית,202312,202411,0.96,0.03,26.58,27.51,33.36,,1.9,25.4,,,,,,,,,דווח,,,,,,,,,,,92.9,,,0.03,2023,-0.06,2.31,512065202,,14259
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14260,מיטב פנסיה מקיפה עוקב מדדים גמיש,"מיטב גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"מיטב דש השקעות בע""מ",ישראלית,202312,202411,10.28,0.47,96.76,106.57,150.34,,1.01,12.81,,,,,,,,,דווח,,,,,,,,,,,97.3,,,0.03,2023,-0.06,1.12,512065202,,14260
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14261,מיטב פנסיה מקיפה קיימות,"מיטב גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"מיטב דש השקעות בע""מ",ישראלית,202312,202411,1.03,0.07,25.72,26.68,29.53,,1.4,18.11,,,,,,,,,דווח,,,,,,,,,,,96.4,,,0.03,2023,-0.06,1.61,512065202,,14261
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14277,מנורה מבטחים פנסיה משולב סחיר,"מנורה מבטחים פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"מנורה מבטחים החזקות בע""מ",קבוצות ביטוח,202312,202411,0.76,0.23,15.58,16.11,21.65,,1.13,14.48,,,,,,,,,דווח,,,,,,,,,,,88.6,,,-0.19,2023,-0.22,1.22,512245812,,14277
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14278,מנורה מבטחים פנסיה עוקב מדדים גמיש,"מנורה מבטחים פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"מנורה מבטחים החזקות בע""מ",קבוצות ביטוח,202312,202411,18.65,6.89,189.17,200.93,307.94,,1.18,15.08,,,,,,,,,דווח,,,,,,,,,,,96.7,,,-0.19,2023,-0.22,1.13,512245812,,14278
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14285,הפניקס פנסיה מקיפה  משולב סחיר,"הפניקס פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"הפניקס אחזקות בע""מ",ישראלית,202312,202411,0.98,0.01,12.18,13.15,17.48,,1.29,16.67,,,,,,,,,דווח,,,,,,,,,,,89.6,,,-0.13,2023,-0.21,1.28,513026484,,14285
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14286,הפניקס פנסיה מקיפה עוקב מדדים גמיש,"הפניקס פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"הפניקס אחזקות בע""מ",ישראלית,202312,202411,6.72,0.29,50.56,56.99,85.38,,0.97,12.28,,,,,,,,,דווח,,,,,,,,,,,84.5,,,-0.13,2023,-0.21,-0.4,513026484,,14286
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14302,אלטשולר שחם פנסיה מקיפה משולב סחיר,"אלטשולר שחם גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אלטשולר שחם פיננסים בע""מ",ישראלית,202312,202411,0.88,0.4,4.62,5.1,8.46,,1.17,14.97,,,,,,,,,דווח,,,,,,,,,,,93.2,,,0.26,2023,0.17,1.44,513173393,,14302
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14303,אלטשולר שחם פנסיה מקיפה עוקב מדדים גמיש,"אלטשולר שחם גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אלטשולר שחם פיננסים בע""מ",ישראלית,202312,202411,3.02,0.18,19.97,22.81,39.4,,1.2,15.37,,,,,,,,,דווח,,,,,,,,,,,97,,,0.26,2023,0.17,1.42,513173393,,14303
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14333,אינפיניטי פנסיה מקיפה משולב סחיר,"אינפיניטי השתלמות, גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אינפיניטי ניהול תיקי השקעות (בישראל ובעולם) בע""מ",גופים פרטיים,202312,202411,0.03,0.8,3.81,3.04,3.25,,1.5,19.51,,,,,,,,,דווח,,,,,,,,,,,91.9,,,0.77,2023,0.96,1.69,513621110,,14333
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14334,אינפיניטי פנסיה מקיפה עוקב מדדים גמיש,"אינפיניטי השתלמות, גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אינפיניטי ניהול תיקי השקעות (בישראל ובעולם) בע""מ",גופים פרטיים,202312,202411,0.05,0.15,0.46,0.36,0.35,,1.26,16.18,,,,,,,,,דווח,,,,,,,,,,,97.8,,,0.77,2023,0.96,1.44,513621110,,14334
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14339,מור פנסיה מקיפה - משולב סחיר,"מור גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"י.ד מור השקעות בע""מ",ישראלית,202312,202411,1.14,0.11,27.3,28.33,34.69,,1.3,16.82,,,,,,,,,דווח,,,,,,,,,,,87.7,,,0.19,2023,0.18,1.53,514956465,,14339
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14340,מור פנסיה מקיפה - עוקב מדדים גמיש,"מור גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"י.ד מור השקעות בע""מ",ישראלית,202312,202411,1.78,0.07,13.37,15.08,20.71,,0.75,9.32,,,,,,,,,דווח,,,,,,,,,,,95.7,,,0.19,2023,0.18,0.75,514956465,,14340
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14348,מנורה מבטחים פנסיה קיימות,"מנורה מבטחים פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"מנורה מבטחים החזקות בע""מ",קבוצות ביטוח,202312,202411,0.46,0.32,5.09,5.23,7.61,,0.78,9.75,,,,,,,,,דווח,,,,,,,,,,,98.2,,,-0.19,2023,-0.22,1,512245812,,14348
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14850,אלטשולר שחם פנסיה מקיפה עוקב מדד S&P500,"אלטשולר שחם גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אלטשולר שחם פיננסים בע""מ",ישראלית,202312,202411,93.53,4.69,1217.97,1306.81,1442.98,,1.65,21.7,,,,,,,,,דווח,,,,,,,,,,,96.6,,,-0.01,2023,0.17,1.9,513173393,,14850
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14929,מגדל מקפת אישית עוקב מדדי מניות,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",19/12/2024,קרנות חדשות,"שלמה אליהו אחזקות בע""מ",ישראלית,202401,202411,46.49,1.9,820.21,864.8,942.02,,,,,,,,,,,,דווח,,,,,,,,,,,96,,,,,-0.09,,512237744,,14929
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15038,הראל  פנסיה עוקב מדדי מניות,"הראל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ",קבוצות ביטוח,202401,202411,403.69,17.2,369.85,756.34,822.72,,,,,,,,,,,,דווח,,,,,,,,,,,97.4,,,,,-0.31,,512267592,,15038
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15092,כלל פנסיה עוקב מדדי מניות,"כלל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,אחר,אחר,202404,202411,8.68,1.97,296.8,303.51,310.42,,,,,,,,,,,,דווח,,,,,,,,,,,97,,,,,-0.14,,512244146,,15092
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15217,"הפניקס פנסיה מקיפה אג""ח סחיר","הפניקס פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"הפניקס אחזקות בע""מ",ישראלית,202407,202411,0.25,0,8.88,9.13,9.51,,,,,,,,,,,,דווח,,,,,,,,,,,86.3,,,,,-0.07,,513026484,,15217
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15218,הפניקס פנסיה מקיפה מניות סחיר,"הפניקס פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"הפניקס אחזקות בע""מ",ישראלית,202407,202411,0.59,0.03,28.44,29,30.95,,,,,,,,,,,,דווח,,,,,,,,,,,85.2,,,,,-0.07,,513026484,,15218
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15219,הפניקס פנסיה מקיפה עוקב מדדי מניות,"הפניקס פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"הפניקס אחזקות בע""מ",ישראלית,202407,202411,8.69,0.44,265.61,273.86,278.9,,,,,,,,,,,,דווח,,,,,,,,,,,94.6,,,,,-0.07,,513026484,,15219
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15263,מור פנסיה מקיפה  מתמחים באפיקי השקעה סחירים מניות סחיר,"מור גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"י.ד מור השקעות בע""מ",ישראלית,202407,202411,3.39,0.33,149.81,152.87,161.69,,,,,,,,,,,,דווח,,,,,,,,,,,92.3,,,,,0.05,,514956465,,15263
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15264,"מור פנסיה מקיפה מתמחים באפיקי השקעה סחירים אג""ח סחיר","מור גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"י.ד מור השקעות בע""מ",ישראלית,202407,202411,0.09,0,6.5,6.59,6.74,,,,,,,,,,,,דווח,,,,,,,,,,,90.9,,,,,0.05,,514956465,,15264
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15265,"מור פנסיה מקיפה עוקבי מדדים עוקב מדדי אג""ח","מור גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"י.ד מור השקעות בע""מ",ישראלית,202407,202411,0.05,0,2.41,2.46,2.44,,,,,,,,,,,,דווח,,,,,,,,,,,98.1,,,,,0.05,,514956465,,15265
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15266,מור פנסיה מקיפה  עוקבי מדדים עוקב מדד s&p 500,"מור גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"י.ד מור השקעות בע""מ",ישראלית,202407,202411,6.7,0.33,191.84,198.21,204.83,,,,,,,,,,,,דווח,,,,,,,,,,,96.5,,,,,0.05,,514956465,,15266
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15276,"הראל פנסיה אג""ח סחיר","הראל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ",קבוצות ביטוח,202407,202411,4.19,0.53,11.84,15.5,15.86,,,,,,,,,,,,דווח,,,,,,,,,,,86.7,,,,,-0.03,,512267592,,15276
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15277,הראל פנסיה מניות סחיר,"הראל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ",קבוצות ביטוח,202407,202411,4.25,0.13,36.28,40.4,42.76,,,,,,,,,,,,דווח,,,,,,,,,,,88.8,,,,,-0.03,,512267592,,15277
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15278,"הראל פנסיה עוקב מדדי אג""ח","הראל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ",קבוצות ביטוח,202407,202411,3.63,0.75,27.53,30.41,29.96,,,,,,,,,,,,דווח,,,,,,,,,,,97.3,,,,,-0.03,,512267592,,15278
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15314,אלטשולר שחם פנסיה מקיפה הלכה למקבלי קצבה,"אלטשולר שחם גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אלטשולר שחם פיננסים בע""מ",ישראלית,202408,202411,0,0.1,3.58,3.48,3.57,,,,,,,,,,,,דווח,,,,,,,,,,,94.3,,,,,0.08,,513173393,,15314
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15342,"מנורה מבטחים פנסיה מסלול אג""ח ממשלות","מנורה מבטחים פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"מנורה מבטחים החזקות בע""מ",קבוצות ביטוח,202407,202411,20.79,105.26,7.53,-76.94,761.28,,,,,,,,,,,,דווח,,,,,,,,,,,88.4,,,,,-0.11,,512245812,,15342
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15359,"מיטב פנסיה מקיפה אג""ח סחיר","מיטב גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"מיטב דש השקעות בע""מ",ישראלית,202407,202411,0.32,0.05,13.99,14.26,14.21,,,,,,,,,,,,דווח,,,,,,,,,,,89.8,,,,,0.08,,512065202,,15359
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,15360,מיטב פנסיה מקיפה מניות סחיר,"מיטב גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"מיטב דש השקעות בע""מ",ישראלית,202407,202411,1.91,0.13,71.53,73.31,73.72,,,,,,,,,,,,דווח,,,,,,,,,,,96.1,,,,,0.08,,512065202,,15360
